iter	Passed	Remaining
0	10	10390
1	12	6373
2	14	4850
3	16	4088
4	18	3621
5	19	3305
6	21	3084
7	23	2931
8	25	2796
9	27	2708
10	29	2624
11	30	2552
12	32	2492
13	34	2444
14	36	2401
15	38	2361
16	40	2323
17	42	2301
18	44	2274
19	45	2245
20	47	2222
21	49	2197
22	51	2175
23	53	2156
24	54	2137
25	56	2119
26	58	2112
27	60	2099
28	62	2083
29	64	2071
30	65	2059
31	67	2047
32	69	2039
33	71	2028
34	73	2019
35	75	2012
36	77	2004
37	78	1996
38	80	1987
39	82	1978
40	84	1971
41	86	1962
42	87	1958
43	89	1951
44	91	1944
45	93	1936
46	95	1928
47	96	1921
48	98	1914
49	100	1908
50	102	1908
51	104	1902
52	106	1896
53	107	1889
54	109	1883
55	111	1877
56	113	1872
57	114	1867
58	117	1866
59	118	1863
60	120	1859
61	122	1855
62	124	1851
63	126	1845
64	127	1841
65	129	1836
66	131	1831
67	133	1827
68	135	1822
69	136	1817
70	138	1812
71	140	1807
72	141	1803
73	143	1798
74	145	1794
75	147	1792
76	149	1788
77	150	1784
78	152	1780
79	154	1777
80	156	1773
81	158	1770
82	159	1766
83	161	1764
84	163	1760
85	165	1757
86	167	1753
87	168	1750
88	170	1746
89	172	1742
90	174	1739
91	175	1735
92	177	1732
93	179	1729
94	181	1726
95	182	1722
96	184	1718
97	186	1714
98	188	1712
99	189	1709
100	191	1707
101	193	1704
102	195	1702
103	197	1700
104	199	1698
105	201	1695
106	202	1692
107	204	1690
108	206	1688
109	208	1686
110	210	1684
111	212	1682
112	214	1680
113	216	1678
114	217	1676
115	219	1673
116	221	1671
117	223	1668
118	224	1665
119	226	1662
120	228	1660
121	230	1657
122	232	1655
123	233	1652
124	235	1649
125	237	1648
126	239	1645
127	241	1643
128	243	1641
129	244	1638
130	246	1635
131	248	1633
132	250	1630
133	251	1627
134	253	1624
135	255	1622
136	257	1619
137	258	1616
138	260	1614
139	262	1611
140	264	1609
141	265	1606
142	267	1604
143	269	1602
144	271	1600
145	273	1598
146	275	1596
147	276	1594
148	278	1591
149	280	1588
150	282	1588
151	284	1585
152	286	1583
153	287	1581
154	289	1578
155	291	1576
156	293	1574
157	294	1571
158	296	1569
159	298	1567
160	300	1565
161	302	1562
162	303	1560
163	305	1558
164	307	1555
165	309	1553
166	311	1551
167	312	1549
168	314	1547
169	316	1545
170	318	1542
171	320	1541
172	321	1538
173	323	1536
174	325	1533
175	327	1532
176	329	1530
177	331	1528
178	333	1527
179	334	1525
180	336	1523
181	338	1521
182	340	1519
183	342	1517
184	343	1515
185	345	1512
186	347	1510
187	349	1507
188	351	1506
189	352	1503
190	354	1501
191	356	1500
192	358	1498
193	360	1496
194	361	1494
195	363	1492
196	365	1490
197	367	1488
198	369	1486
199	371	1484
200	372	1482
201	374	1479
202	376	1477
203	378	1475
204	379	1473
205	381	1470
206	383	1468
207	385	1466
208	386	1464
209	388	1462
210	390	1460
211	392	1458
212	394	1456
213	396	1454
214	397	1452
215	399	1449
216	401	1447
217	403	1445
218	404	1443
219	406	1441
220	408	1439
221	410	1437
222	411	1435
223	413	1433
224	415	1431
225	417	1429
226	419	1427
227	420	1424
228	422	1422
229	424	1420
230	426	1418
231	427	1416
232	429	1414
233	431	1412
234	433	1410
235	434	1408
236	436	1405
237	438	1403
238	440	1401
239	441	1399
240	443	1397
241	445	1395
242	447	1393
243	449	1391
244	450	1389
245	452	1387
246	454	1385
247	456	1383
248	458	1381
249	459	1379
250	461	1377
251	463	1376
252	465	1374
253	467	1372
254	469	1370
255	470	1368
256	472	1366
257	474	1364
258	476	1362
259	478	1360
260	479	1358
261	481	1356
262	483	1354
263	485	1352
264	486	1350
265	488	1348
266	490	1346
267	492	1345
268	494	1344
269	496	1342
